source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","WFC","wfc dividend","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","3","0","0","81.33333333333333","CORRECT","CORRECT","3","0","3","1","0","/stocks/WFC/dividend-history","3","yes","/stocks/WFC/dividend-history=3"
"google","WAB","""earnings per share - wab"" ""shares outstanding - wab"" financial statements","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WAB/dividend-history","2","0","0","1","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/WAB/dividend-history","2","no","/stocks/WAB/dividend-history=2"
"google","VSTS","$vsts vestis corporation $vsts earnings revenue financials","REVENUE","REVENUE","/stocks/VSTS/revenue","/stocks/VSTS/revenue","2","0","0","50","CORRECT","CORRECT","2","0","2","1","0","/stocks/VSTS/revenue","2","yes","/stocks/VSTS/revenue=2"
"google","ACMR","acmr earnings","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/ACMR/eps","2","0","0","69.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/ACMR/eps","2","no","/stocks/ACMR/eps=2"
"google","AMZN","amazon stock pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/AMZN/pe-ratio","2","0","0","37","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/AMZN/pe-ratio","2","no","/stocks/AMZN/pe-ratio=2"
"google","CART","cart share price","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/CART/shares-outstanding","2","0","0","66","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/CART/shares-outstanding","2","no","/stocks/CART/shares-outstanding=2"
"google","CI","cigna health europe turnover","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/CI/revenue","2","0","0","71","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/CI/revenue","2","no","/stocks/CI/revenue=2"
"google","KO","coca cola yearly profit","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/KO/revenue","2","0","0","43.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/KO/revenue","2","no","/stocks/KO/revenue=2"
"google","CNXC","concentrix revenue","REVENUE","REVENUE","/stocks/CNXC/revenue","/stocks/CNXC/revenue","2","0","0","70.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/CNXC/revenue","2","yes","/stocks/CNXC/revenue=2"
"google","DIS","disney revenue","REVENUE","REVENUE","/stocks/DIS/revenue","/stocks/DIS/revenue","2","0","0","62","CORRECT","CORRECT","2","0","2","1","0","/stocks/DIS/revenue","2","yes","/stocks/DIS/revenue=2"
