page,clicks,impressions,ctr,position
https://www.stockportfolio.pro/compare/ATRO-vs-RDW,0,12,0,4.083333333333334
https://www.stockportfolio.pro/compare/AUPH-vs-IMNM,0,2,0,35.5
https://www.stockportfolio.pro/compare/AURA-vs-RLMD,0,1,0,1
https://www.stockportfolio.pro/compare/AVA-vs-NWE,0,1,0,53
https://www.stockportfolio.pro/compare/AVAH-vs-PRGO,0,1,0,46
https://www.stockportfolio.pro/compare/AVAV-vs-JOBY,0,1,0,7
https://www.stockportfolio.pro/compare/AVB-vs-EQR,0,1,0,79
https://www.stockportfolio.pro/compare/AVGO-vs-INTC,0,2,0,8.5
https://www.stockportfolio.pro/compare/AVGO-vs-MSFT,0,3,0,13.666666666666666
https://www.stockportfolio.pro/compare/AVGO-vs-MU,0,8,0,9
https://www.stockportfolio.pro/compare/AVNS-vs-URGN,0,1,0,43
https://www.stockportfolio.pro/compare/AVY-vs-STLD,0,1,0,96
https://www.stockportfolio.pro/compare/AWK-vs-XEL,0,1,0,85
https://www.stockportfolio.pro/compare/AWR-vs-NWE,0,1,0,78
https://www.stockportfolio.pro/compare/AXG-vs-HIPO,0,4,0,1
https://www.stockportfolio.pro/compare/AXG-vs-HRTG,0,4,0,2
https://www.stockportfolio.pro/compare/AXON-vs-HII,0,1,0,39
https://www.stockportfolio.pro/compare/AXP-vs-BLK,0,2,0,8
https://www.stockportfolio.pro/compare/AXP-vs-WFC,0,2,0,15
https://www.stockportfolio.pro/compare/AXTI-vs-DOX,0,1,0,31
https://www.stockportfolio.pro/compare/AZN-vs-NVS,0,1,0,7
https://www.stockportfolio.pro/compare/AZN-vs-TMO,0,4,0,9.5
https://www.stockportfolio.pro/compare/BA-vs-CAT,0,2,0,6
https://www.stockportfolio.pro/compare/BA-vs-DY,0,1,0,2
https://www.stockportfolio.pro/compare/BA-vs-JBHT,0,1,0,69
https://www.stockportfolio.pro/compare/BA-vs-RTX,0,3,0,7.666666666666667
https://www.stockportfolio.pro/compare/BA-vs-RUSHA,0,1,0,29
https://www.stockportfolio.pro/compare/BAC-vs-MS,0,4,0,5.5
https://www.stockportfolio.pro/compare/BALL-vs-WS,0,2,0,22
https://www.stockportfolio.pro/compare/BATRA-vs-MSGE,0,2,0,10
https://www.stockportfolio.pro/compare/BBWI-vs-MMYT,0,1,0,43
https://www.stockportfolio.pro/compare/BCC-vs-HUN,0,2,0,7
https://www.stockportfolio.pro/compare/BCPC-vs-MTRN,0,3,0,29
https://www.stockportfolio.pro/compare/BDJ-vs-LIFE,0,2,0,29
https://www.stockportfolio.pro/compare/BDN-vs-GOOD,0,2,0,11
https://www.stockportfolio.pro/compare/BDX-vs-EW,0,1,0,2
https://www.stockportfolio.pro/compare/BEAM-vs-RLAY,0,2,0,7.5
https://www.stockportfolio.pro/compare/BEN-vs-UNM,0,1,0,26
https://www.stockportfolio.pro/compare/BEP-vs-PPL,0,1,0,67
https://www.stockportfolio.pro/compare/BEPC-vs-CWEN.A,0,2,0,48
https://www.stockportfolio.pro/compare/BFLY-vs-VIR,0,1,0,35
https://www.stockportfolio.pro/compare/BG-vs-DG,0,1,0,11
https://www.stockportfolio.pro/compare/BGB-vs-TREE,0,1,0,4
https://www.stockportfolio.pro/compare/BGSI-vs-SAH,0,2,0,91.5
https://www.stockportfolio.pro/compare/BGY-vs-VCV,0,1,0,83
https://www.stockportfolio.pro/compare/BHE-vs-HIMX,0,1,0,12
https://www.stockportfolio.pro/compare/BHE-vs-PENG,0,3,0,35.333333333333336
https://www.stockportfolio.pro/compare/BHP-vs-FCX,0,1,0,9
https://www.stockportfolio.pro/compare/BHP-vs-RIO,0,1,0,10
https://www.stockportfolio.pro/compare/BIIB-vs-BIO,0,1,0,4
https://www.stockportfolio.pro/compare/BIIB-vs-DXCM,0,1,0,5
https://www.stockportfolio.pro/compare/BILL-vs-KN,0,1,0,4
https://www.stockportfolio.pro/compare/BIO-vs-BRKR,0,1,0,35
https://www.stockportfolio.pro/compare/BK-vs-BNY,0,11,0,11.363636363636363
https://www.stockportfolio.pro/compare/BK-vs-KKR,0,1,0,16
https://www.stockportfolio.pro/compare/BKNG-vs-DFH,0,1,0,98
https://www.stockportfolio.pro/compare/BKNG-vs-RCL,0,1,0,8
https://www.stockportfolio.pro/compare/BKR-vs-KMI,0,1,0,9
https://www.stockportfolio.pro/compare/BLD-vs-QXO,0,2,0,9
https://www.stockportfolio.pro/compare/BLFS-vs-HROW,0,1,0,31
https://www.stockportfolio.pro/compare/BLFS-vs-MLTX,0,1,0,10
https://www.stockportfolio.pro/compare/BLK-vs-BX,0,5,0,33.8
https://www.stockportfolio.pro/compare/BLK-vs-SCHW,0,4,0,16
https://www.stockportfolio.pro/compare/BLLN-vs-CAI,0,1,0,9
https://www.stockportfolio.pro/compare/BLSH-vs-VECO,0,3,0,32.66666666666667
https://www.stockportfolio.pro/compare/BMI-vs-LIF,0,1,0,11
https://www.stockportfolio.pro/compare/BMNR-vs-WAL,0,1,0,73
https://www.stockportfolio.pro/compare/BMRC-vs-HMN,0,1,0,68
https://www.stockportfolio.pro/compare/BNY-vs-PNC,0,6,0,6
https://www.stockportfolio.pro/compare/BOBS-vs-LIND,0,3,0,66.33333333333333
https://www.stockportfolio.pro/compare/BP-vs-SLB,0,2,0,5.5
https://www.stockportfolio.pro/compare/BP-vs-WMB,0,1,0,10
https://www.stockportfolio.pro/compare/BR-vs-SSNC,0,1,0,4
https://www.stockportfolio.pro/compare/BRAI-vs-CNXC,0,2,0,31.5
https://www.stockportfolio.pro/compare/BRK.B-vs-JPM,0,3,0,11
https://www.stockportfolio.pro/compare/BRKR-vs-HALO,0,2,0,6
https://www.stockportfolio.pro/compare/BROS-vs-DPZ,0,1,0,2
https://www.stockportfolio.pro/compare/BRUN-vs-CTS,0,2,0,33
https://www.stockportfolio.pro/compare/BRUN-vs-VPG,0,2,0,12.5
https://www.stockportfolio.pro/compare/BRX-vs-CPT,0,1,0,16
https://www.stockportfolio.pro/compare/BSTZ-vs-LC,0,1,0,58
https://www.stockportfolio.pro/compare/BTG-vs-OGC,0,1,0,9
https://www.stockportfolio.pro/compare/BTG-vs-TFPM,0,1,0,4
https://www.stockportfolio.pro/compare/BUD-vs-MDLZ,0,1,0,8
https://www.stockportfolio.pro/compare/BULL-vs-DAVE,0,5,0,7.4
https://www.stockportfolio.pro/compare/BULL-vs-NTSK,0,2,0,9.5
https://www.stockportfolio.pro/compare/BVN-vs-EQX,0,1,0,34
https://www.stockportfolio.pro/compare/BVS-vs-TRAX,0,1,0,98
https://www.stockportfolio.pro/compare/BWAY-vs-GYRE,0,1,0,6
https://www.stockportfolio.pro/compare/BWXT-vs-FPS,0,1,0,95
https://www.stockportfolio.pro/compare/BXP-vs-CPT,0,1,0,88
https://www.stockportfolio.pro/compare/BZH-vs-FOXF,0,1,0,19
https://www.stockportfolio.pro/compare/C-vs-IBKR,0,1,0,5
https://www.stockportfolio.pro/compare/C-vs-MS,0,1,0,4
https://www.stockportfolio.pro/compare/CACC-vs-SIGI,0,1,0,1
https://www.stockportfolio.pro/compare/CAG-vs-CPB,0,1,0,6
https://www.stockportfolio.pro/compare/CAG-vs-TAL,0,1,0,4
https://www.stockportfolio.pro/compare/CAH-vs-REGN,0,1,0,4
https://www.stockportfolio.pro/compare/CAKE-vs-VGNT,0,1,0,8
https://www.stockportfolio.pro/compare/CARR-vs-GWW,0,3,0,7
https://www.stockportfolio.pro/compare/CASY-vs-CPNG,0,1,0,9
https://www.stockportfolio.pro/compare/CASY-vs-QSR,0,1,0,11
https://www.stockportfolio.pro/compare/CAT-vs-GEV,0,18,0,9.38888888888889
https://www.stockportfolio.pro/compare/CB-vs-PGR,0,1,0,10
https://www.stockportfolio.pro/compare/CBRE-vs-DLR,0,1,0,9
https://www.stockportfolio.pro/compare/CBRE-vs-WPC,0,1,0,3
https://www.stockportfolio.pro/compare/CBRS-vs-CRDO,0,29,0,5.379310344827586
https://www.stockportfolio.pro/compare/CBRS-vs-CRWV,0,8,0,5.875
https://www.stockportfolio.pro/compare/CBRS-vs-FLEX,0,5,0,9.8
https://www.stockportfolio.pro/compare/CBT-vs-MTRN,0,1,0,6
https://www.stockportfolio.pro/compare/CBU-vs-FHB,0,1,0,6
https://www.stockportfolio.pro/compare/CBU-vs-GBDC,0,2,0,82
